district,property,flatmates,deposit,monthly_price_avg,space_per_person,total_space,has_access_yn,bills_electricity_yn,bills_water_yn,bills_gas_yn,bills_wifi_yn,feature_furnished_yn,feature_dishwasher_yn,feature_washing_machine_yn,feature_equipped_kitchen_yn,feature_balcony_yn,feature_parking_yn,feature_tv_yn,feature_oven_yn,feature_elevator_yn,english_spoken_yn,german_spoken_yn,russian_spoken_yn,spanish_spoken_yn,Main title,property_type,monthly_rent,bills,property_features,property_rules,monthly_price_min,monthly_price_max,total_living_space,living_space_per_person
Treptow-Köpenick,Room,4,978.0,489.0,16.25,65.0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,Modern room for rent in apartment with 4 bedrooms in Treptow-Köpenick,"Room
4
flatmates
1
bathrooms
65
m2","Monthly rent
489 €",Bills Electricity Included Water Included Gas Included Wifi Included,Furnished Dishwasher Washing machine Dryer Exterior Equipped kitchen Balcony or terrace Parking available Central water heating Heating Oven 65 m2,"Landlord policies Registration is possible Languages spoken: English, German Lives on property: no Payment method: bank transfer Check-in/out: Check-in hours: 09:00 - 12:00 Check-out cleaning fee: €50 (to be paid at the start of your tenancy) Additional documentation: ID / Passport Work Contract University Acceptance letter (if applicable) Recent Paychecks / Bank Statement Guarantor Variable rent: (to cover VAT) Staying 2-6 months: the rent price shown increases by 7% to cover VAT Staying longer than 6 months: price as shown Note: The deposit must be transferred to the landlord before you check-in",489,489,65,16.25
Adlershof,Room,4,998.0,499.0,16.75,67.0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,Cozy room with single bed for rent in Adlershof,"Room
4
flatmates
1
bathrooms
67
m2","Monthly rent
499 €",Bills Electricity Included Water Included Gas Included Wifi Included,Furnished Dishwasher Washing machine Dryer Interior Equipped kitchen Balcony or terrace Central water heating Heating Oven 67 m2,"Landlord policies Registration is possible Languages spoken: English, German Lives on property: no Payment method: bank transfer Check-in/out: Check-in hours: 09:00 - 12:00 Check-out cleaning fee: €50 (to be paid at the start of your tenancy) Additional documentation: ID / Passport Work Contract University Acceptance letter (if applicable) Recent Paychecks / Bank Statement Guarantor Variable rent: (to cover VAT) Staying 2-6 months: the rent price shown increases by 7% to cover VAT Staying longer than 6 months: price as shown Note: The deposit must be transferred to the landlord before you check-in",499,499,67,16.75
Tempelhof,Room,4,300.0,575.3199608610568,12.5,50.0,0,1,1,0,0,1,0,1,1,1,0,0,1,1,1,1,0,0,Comfortable beds for rent in shared room in 2-bedroom apartment in Tempelhof-Schöneberg,"Room
4
flatmates
1
bathrooms
50
m2","Room
Price shown is per bed. Other beds may be rented to people you do not know.",Bills Electricity Included Water Included Gas No gas Wifi Not included Pay the Landlord 13€/month/room,Furnished Washing machine Dryer Exterior Elevator Equipped kitchen Balcony or terrace Pet-friendly Central water heating Heating Oven 50 m2,"Landlord policies Pets: Some pets are allowed. Please include your animal friend in your booking request. Payment method: cash; bank transfer Possibility of domiciliation: yes Check-in/out: Check-in hours: 10:00-17:00 during weekdays Check in fee: €50 per person Out of hours check-in: €100 per person Check-out cleaning fee: €38 per Person (payable at check-out) Required documentation: ID / Passport University acceptance letter (if applicable) Your landlord speaks: English, German Your landlord does not live on the property",0,0,50,12.5
Charlottenburg,Apartment,0,1100.0,1100.0,60.851851851851855,60.851851851851855,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,Furnished studio apartment for rent in Charlottenburg-Wilmersdorf,"Apartment
1
bedrooms","Monthly rent
1100 €",Bills Electricity Included Water Included Gas Included Wifi Included,Furnished A/C TV Washing machine Dryer Interior Elevator Equipped kitchen Parking available Pet-friendly Central water heating Heating Oven,"Landlord policies Languages spoken: English, German Lives on property: no Smoking: allowed on balcony only Pets: some pets are allowed, please include your animal friend when making your booking request Deposit: 1 month’s rent Payment method: cash; bank transfer Possibility of domiciliation: yes Check-in/out: Check-in hours: from 8am to 6pm Check-out hours: from 8am to 6pm Check-out cleaning fee: €55 (payable at check-out) Additional documentation: ID / Passport Work Contract University Acceptance letter (if applicable)",1100,1100,0,0.0
Tempelhof,Room,4,300.0,575.3199608610568,12.5,50.0,0,1,1,0,0,1,0,1,1,1,0,0,1,1,1,1,0,0,Beds for rent in 2-bedroom apartment in Tempelhof-Schöneberg,"Room
4
flatmates
1
bathrooms
50
m2","Room
Price shown is per bed. Other beds may be rented to people you do not know.",Bills Electricity Included Water Included Gas No gas Wifi Not included Pay the Landlord 13€/month/room,Furnished Washing machine Dryer Exterior Elevator Equipped kitchen Balcony or terrace Pet-friendly Central water heating Heating Oven 50 m2,"Landlord policies Pets: Some pets are allowed. Please include your animal friend in your booking request. Payment method: cash; bank transfer Possibility of domiciliation: yes Check-in/out: Check-in hours: 10:00-17:00 during weekdays Check in fee: €50 per person Out of hours check-in: €100 per person Check-out cleaning fee: €38 per Person (payable at check-out) Required documentation: ID / Passport University acceptance letter (if applicable) Your landlord speaks: English, German Your landlord does not live on the property",0,0,50,12.5
Lichtenberg,Studio,0,1198.0,599.0,20.0,20.0,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,Cozy studio apartment for rent in students' hall in Lichtenberg,"Studio
20
m2","Monthly rent
599 €",Bills Electricity Included Water Included Gas Included Wifi Included,Furnished TV Washing machine Dryer Elevator Equipped kitchen Balcony or terrace Doorman/Reception Central water heating Heating 20 m2,"Landlord policies Languages spoken: English, Spanish, German Payment method: bank transfer; credit card Registration possible Additional documentation: ID / Passport Work Contract University Acceptance letter (if applicable) Please note that you need to pay the deposit and check-out cleaning fee within 5 days after your booking is confirmed. If your reservation is very short notice, the deposit payment may be due earlier. The payment must be received on the landlord's account before moving in.",599,599,20,20.0
Wedding,Room,4,1100.0,550.0,23.192179894179898,92.76871957671959,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,Rooms for rent in shared apartment in new build in Wedding,"Room
4
flatmates
1
bathrooms","Monthly rent
550 €",Bills Electricity Included Water Included Gas Included Wifi Included,Furnished Washing machine Exterior Elevator Equipped kitchen Balcony or terrace Other heating system Oven,"Landlord policies Languages spoken: English, German, Russian Payment method: bank transfer Documents required: Passport / ID Proof of income (last 3 months) OR work contract Proof of enrollment (for students only) Guarantor (only if no proof of income) Copy of guarantor's ID (only if no proof of income) Copy of guarantor's work contract (only if no proof of income) The landlord only accepts tenants under the age of 35 Other costs: Rundfunkbeitrag (German broadcasting licence fees): not included in rent (€17.50 per month for the whole apartment) Registration is possible! Surcharge for common laundry room 2.80€ washing machine 2.50€ dryer",550,550,0,0.0
Treptow-Köpenick,Room,9,1178.0,589.0,23.192179894179898,208.72961904761908,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,"Furnished room in shared apartment, Treptow-Köpenick, Berlin","Room
9
flatmates
1
bathrooms","Monthly rent
589 €",Bills Electricity Included Water Included Gas Included Wifi Included,Furnished Dishwasher Washing machine Dryer Exterior Equipped kitchen Balcony or terrace Parking available Central water heating Heating Oven,"Landlord policies Registration is possible Languages spoken: English, German Lives on property: no Payment method: bank transfer Check-in/out: Check-in hours: 09:00 - 12:00 Check-out cleaning fee: €50 (to be paid at the start of your tenancy) Additional documentation: ID / Passport Work Contract University Acceptance letter (if applicable) Recent Paychecks / Bank Statement Guarantor Variable rent: (to cover VAT) Staying 2-6 months: the rent price shown increases by 7% to cover VAT Staying longer than 6 months: price as shown Note: The deposit must be transferred to the landlord before you check-in",589,589,0,0.0
Berlin,Room,4,1080.0,540.0,23.192179894179898,92.76871957671959,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,Room for rent in apartment with 4 bedrooms in Berlin,"Room
4
flatmates
2
bathrooms","Monthly rent
540 €",Bills Electricity Included Water Included Gas Included Wifi Included,Furnished Washing machine Dryer Exterior Elevator Equipped kitchen Balcony or terrace Other heating system Oven,"Landlord policies Languages spoken: English, German, Russian Payment method: bank transfer Documents required: Passport / ID Proof of income (last 3 months) OR work contract Proof of enrollment (for students only) Guarantor (only if no proof of income) Copy of guarantor's ID (only if no proof of income) Copy of guarantor's work contract (only if no proof of income) The landlord only accepts tenants under the age of 35 Other costs: Rundfunkbeitrag (German broadcasting licence fees): not included in rent (€17.50 per month for the whole apartment) Registration is possible! Surcharge for common laundry room 2.80€ washing machine 2.50€ dryer",540,540,0,0.0
Treptow-Köpenick,Room,4,1178.0,589.0,23.192179894179898,92.76871957671959,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,"Furnished room in shared apartment, Treptow-Köpenick, Berlin","Room
4
flatmates
1
bathrooms","Monthly rent
589 €",Bills Electricity Included Water Included Gas Included Wifi Included,Furnished Dishwasher Washing machine Dryer Exterior Equipped kitchen Balcony or terrace Parking available Central water heating Heating Oven,"Landlord policies Registration is possible Languages spoken: English, German Lives on property: no Payment method: bank transfer Check-in/out: Check-in hours: 09:00 - 12:00 Check-out cleaning fee: €50 (to be paid at the start of your tenancy) Additional documentation: ID / Passport Work Contract University Acceptance letter (if applicable) Recent Paychecks / Bank Statement Guarantor Variable rent: (to cover VAT) Staying 2-6 months: the rent price shown increases by 7% to cover VAT Staying longer than 6 months: price as shown Note: The deposit must be transferred to the landlord before you check-in",589,589,0,0.0
